ID_produit;userRef;stock;ean13;description;bullet_points;etat_produit;Prix_vente_mini;Prix_vente_conseil;Categorie;title;weight;Photo1;Photo2;Photo3;Photo4;Photo5;Photo6;supplier;taxRate;isPack;height;length;width;otherRef1;Mode_transport;Prix_achat;Prix_transport;otherRef5;otherRef6;otherRef7;otherRef8;otherRef9;otherRef10;otherRef11;otherRef14
;EAN3700123855354;0;3700123855354;;;;;;;START - STATION METEO AVEC PHASE DE LUNE, HISTOGRAMME ET ICÔNE METEO - WS6823-BLA - ;500;https://images-na.ssl-images-amazon.com/images/I/4166VsOQGwL.jpg;;;;;;START;2000;false;1750;1620;340;;;4768;;;;;;WS6823-BLA;;1;
;EAN3760059702467;0;3760059702467;;;;;;;START - ENGRAIS SULFATE DE POTASSE 5 KG - SDP5 - ;5000;https://images-na.ssl-images-amazon.com/images/I/512yxB6TbFL.jpg;;;;;;START;2000;false;5300;3000;400;;AMZS;1121;525;;;;;SDP5;;5;
;EAN3760317921067;0;3760317921067;;;;;;;PACK D ZERB COLORS JAUNE + CARTOUCHE DE GAZ - BHCJ+CG;400;https://images-na.ssl-images-amazon.com/images/I/71z9BIwvnpL._AC_SL1500_.jpg;;;;;;START;2000;true;85;982;200;OK;COL;1945;463;B08CVFR7TZ;;;;;;;
;EAN3760059704560;0;3760059704560;;;;;;;START - ENGRAIS 10KG UNIVERSEL 7-7-7 STAR JARDIN - UO10 - ;10000;https://images-na.ssl-images-amazon.com/images/I/41MbhPEl78L.jpg;;;;;;START;1000;false;5600;3200;600;;AMZS;1211;1130;;TERREAU;;;UO10;;5;
;EAN3760059706588;0;3760059706588;;;;;;;STARNET DESHERBANT CULTURES ORNEMENTALES ARBRES ET ARBUSTES;342;https://images-na.ssl-images-amazon.com/images/I/41G1NsUW9SS.jpg;;;;;;START;2000;false;180;135;50;OK;AMZSok;620;392;;;;;;;12;
;EAN3760059702306;0;3760059702306;;;;;;;START - CHARIOT BRUL'STAR PRO + ROUES GONFLABLES - CHARG - ;3500;https://i.ebayimg.com/images/g/lzoAAOSwIYdcbvFR/s-l500.jpg;;;;;;START;2000;false;9800;2600;1700;OK;COL;3772;741;B07T2MHRK2;;;;CHARG;;1;
;EAN3760059702726;0;3760059702726;;;;;;;START - ENGRAIS BLEU 12-12-17SK 5KG - EBT5 - ;5000;https://images-na.ssl-images-amazon.com/images/I/41UyDwIic1L.jpg;;;;;;START;2000;false;5300;3000;400;;AMZS;736;597;EBT5;TERREAU;;;EBT5;;5;
;EAN3760059705918;0;3760059705918;;;;;;;START - BARRAGE REPULSIF ARAIGNEES 1L - BA1 - ATTENTION NE PAS RECOMMANDER SANS CONTROLE PRIX CAR PRODUIT DESTOCKE;1100;https://images-na.ssl-images-amazon.com/images/I/71uaOex%2B5ML._AC_SL1500_.jpg;;;;;;START;2000;false;290;90;90;OK;AMZSok;262;426;B093L5CQDG;;;;BA1;;12;
;EAN3760317921104;0;3760317921104;;;;;;;MAISANGE START - BRUL STAR PRO EVOLUTIF 60 - 1099B1;900;https://images-na.ssl-images-amazon.com/images/I/31Peuh-P1kL.jpg;;;;;;START;2000;true;85;1050;280;OK;COL;655;1655;;;;;;;;
;EAN3760059706274;0;3760059706274;;;;;;;START - PROTECTION DES POMMES DE TERRE : BARRIÈRE PHYSIQUE 500G - PDT500 - ;583;https://images-na.ssl-images-amazon.com/images/I/31gVrPoJRpS.jpg;;;;;;START;1000;false;180;100;100;;AMZSok;551;426;B093L5V447;;;;PDT500;;6;
;EAN3760059700012;0;3760059700012;;;;;;;START - TRAITEMENT TOITS, MURS, TERRASSES CONCENTRE 1L AUTO DOSEUR 625M2 - AML1 - ;1180;https://images-na.ssl-images-amazon.com/images/I/31v4IM43PMS.jpg;;;;;;START;2000;false;2400;900;900;;AMZS;869;426;;;;;AML1;;12;
;EAN3760059705956;0;3760059705956;;;;;;;START - BRUL'STAR SIMPLE + TUYAU 4M + DETENDEUR REGLBLE 0.4 BAR - 1099MG - ;5000;https://images-na.ssl-images-amazon.com/images/I/71sAxeIqc5L._AC_SL1500_.jpg;;;;;;START;2000;false;1030;205;80;OK;COLok;3919;814;;;;;1099MG;;6;
;EAN3701536301612;0;3701536301612;;;;;;;STAR DESHERBEUR THERMIQUE B1 + CHARIOT ROUE GONFLABLE;;;;;;;;START;2000;true;;;;;COL;5690;;;;;;;;;
